,production_kg,superficie,taille_menage,age,nbre_heure_travail,lat,lng,culture_label_Arachide,culture_label_Bissap,culture_label_Mais,culture_label_Manioc,culture_label_Mil,culture_label_Niebe,culture_label_Pasteque,culture_label_Riz,culture_label_Sesame,culture_label_Sorgho
1799,250,1.0,7,30,52,14.7497406,-17.5100452,0,0,1,0,0,0,0,0,0,0
4759,600,1.0,8,66,48,13.919217,-15.9259271,0,0,0,0,1,0,0,0,0,0
6766,1000,2.0,11,42,63,15.077949,-16.3483069,1,0,0,0,0,0,0,0,0,0
2605,100,1.0,31,73,3,12.466667,-12.65,0,0,1,0,0,0,0,0,0,0
1045,30,1.0,9,49,5,13.839155,-12.309654,0,0,1,0,0,0,0,0,0,0
6308,50,1.0,15,50,49,41.4587113,-81.5645969,0,0,0,0,0,0,0,0,1,0
4498,300,1.279999971,4,40,49,15.178288,-15.559558,0,0,0,0,1,0,0,0,0,0
1962,70,0.5,9,60,63,13.959304,-16.348358,0,0,0,0,0,0,0,0,0,1
1562,1380,2.75,24,70,42,12.995899,-15.161333,0,0,1,0,0,0,0,0,0,0
4315,18000,5.0,35,50,42,12.7924409,-15.9685189,1,0,0,0,0,0,0,0,0,0
491,950,0.699999988,9,68,56,12.879056,-16.2838,1,0,0,0,0,0,0,0,0,0
5436,1600,1.0,6,68,18,13.146617,-13.752088,0,0,1,0,0,0,0,0,0,0
4017,600,1.399999976,11,42,40,15.0923732,-16.6357618,0,0,0,0,1,0,0,0,0,0
4643,2000,5.0,14,55,49,14.7443828,-16.6143944,1,0,0,0,0,0,0,0,0,0
4073,30,0.230000004,7,40,35,13.995527,-15.719152,1,0,0,0,0,0,0,0,0,0
7377,1000,3.5,8,65,56,15.4002994,-15.1536731,0,0,0,0,1,0,0,0,0,0
4813,700,1.5,11,50,42,14.819376,-16.445772,1,0,0,0,0,0,0,0,0,0
5320,1400,2.0,7,66,48,12.9843119,-15.6163281,0,0,0,0,1,0,0,0,0,0
444,100,2.0,6,34,56,12.4664,-12.6511,0,0,1,0,0,0,0,0,0,0
5888,420,1.0,8,57,8,16.0068567,-13.6878382,0,0,0,0,0,1,0,0,0,0
1639,800,2.0,7,48,30,45.5125995,-73.56059549999999,1,0,0,0,0,0,0,0,0,0
3705,3000,6.0,10,65,40,14.128458,-15.7439194,0,0,0,0,1,0,0,0,0,0
6367,150,0.487500012,6,57,26,37.22838429999999,-80.42341669999999,1,0,0,0,0,0,0,0,0,0
534,100,2.0,4,40,49,14.7498382,-17.4714214,0,0,0,0,1,0,0,0,0,0
4151,1000,3.0,11,52,40,40.8075355,-73.9625727,0,0,0,0,0,0,0,0,0,1
7811,500,2.0,12,57,49,13.8200177,-14.4388515,0,0,0,0,1,0,0,0,0,0
4901,1500,6.0,12,47,12,15.25,-14.1,0,0,0,0,0,1,0,0,0,0
4647,2500,3.0,8,61,49,14.8768468,-15.9026409,1,0,0,0,0,0,0,0,0,0
5856,2000,2.5,7,46,40,12.589798,-15.594897,1,0,0,0,0,0,0,0,0,0
3296,150,0.1875,13,40,56,13.606067,-14.186516,1,0,0,0,0,0,0,0,0,0
