production_kg,superficie,taille_menage,age,nbre_heure_travail,lat,lng,culture_label_Arachide,culture_label_Bissap,culture_label_Mais,culture_label_Manioc,culture_label_Mil,culture_label_Niebe,culture_label_Pasteque,culture_label_Riz,culture_label_Sesame,culture_label_Sorgho
600,2.0,20,60,42,13.7725888,-13.6710059,1,0,0,0,0,0,0,0,0,0
600,1.600000024,22,60,70,12.8997479,-14.9359544,1,0,0,0,0,0,0,0,0,0
3000,5.0,10,55,48,14.066667,-15.1,0,0,0,0,0,0,0,0,0,1
700,1.0,6,56,58,13.995527,-15.719152,0,0,0,0,1,0,0,0,0,0
950,2.0,9,59,48,13.8,-14.6167,0,0,0,0,1,0,0,0,0,0
1000,3.0,14,67,52,15.0,-16.416667,0,0,0,0,1,0,0,0,0,0
700,1.0,3,65,40,14.693436,-17.459282,0,0,1,0,0,0,0,0,0,0
400,1.5,15,46,16,29.9086885,-90.0685934,1,0,0,0,0,0,0,0,0,0
600,2.0,11,47,42,14.303292,-14.898275,0,0,1,0,0,0,0,0,0,0
200,0.5,8,49,70,14.36715,-16.441645,0,0,0,0,0,1,0,0,0,0
500,2.0,6,50,48,14.063682,-15.50701,0,0,0,0,1,0,0,0,0,0
2500,2.5,9,68,48,14.716677,-17.4676861,0,0,1,0,0,0,0,0,0,0
100,0.5,10,60,52,14.697239,-15.646563,0,0,1,0,0,0,0,0,0,0
600,1.0,7,40,54,44.4151208,-93.8523066,0,0,0,0,1,0,0,0,0,0
1200,3.0,8,61,49,14.8768468,-15.9026409,0,0,0,0,1,0,0,0,0,0
500,1.0,6,60,35,33.6474801,-96.5979639,0,0,0,0,0,1,0,0,0,0
200,0.449999988,13,42,30,14.7561322,-17.4567048,0,0,0,0,0,0,0,1,0,0
58,1.0,20,35,63,13.959304,-16.348358,0,0,0,0,0,1,0,0,0,0
500,2.0,9,66,43,15.020773,-15.902403,0,0,0,0,1,0,0,0,0,0
500,1.0,6,33,56,15.486596,-15.657897,1,0,0,0,0,0,0,0,0,0
900,4.0,26,84,48,14.561622,-15.892213,0,0,0,0,1,0,0,0,0,0
700,5.0,9,50,56,14.497401,-14.452362,0,0,0,0,1,0,0,0,0,0
980,2.0,7,60,48,45.5125995,-73.56059549999999,0,0,0,0,1,0,0,0,0,0
250,1.0,20,66,20,12.7781159,-15.4697841,0,0,0,0,0,0,0,1,0,0
800,1.0,8,70,28,12.571675,-16.104181,0,0,0,0,0,0,0,1,0,0
100,2.0,6,62,56,15.922639,-16.3964218,0,0,0,0,0,1,0,0,0,0
600,1.016800046,12,50,70,14.444989,-17.015675,1,0,0,0,0,0,0,0,0,0
100,0.5,7,50,48,12.715597,-14.167063,0,0,1,0,0,0,0,0,0,0
3000,5.0,24,61,36,13.924327,-15.448592,0,0,0,0,1,0,0,0,0,0
1000,2.5,6,67,48,14.7902349,-17.2429976,1,0,0,0,0,0,0,0,0,0
250,0.5,10,50,35,14.131901,-16.3985753,0,0,0,0,1,0,0,0,0,0
80,1.0,10,66,54,15.181099,-16.5716,0,0,0,0,0,1,0,0,0,0
1870,2.5,20,51,14,13.183333,-14.233333,1,0,0,0,0,0,0,0,0,0
2250,15.0,7,70,49,15.270038,-14.05063,0,0,1,0,0,0,0,0,0,0
100,2.0,8,43,54,15.3745907,-16.5164262,0,0,0,0,1,0,0,0,0,0
20,0.5,6,32,52,15.0,-16.416667,0,0,0,0,0,1,0,0,0,0
1200,0.25,10,51,63,16.620322,-15.089071,0,0,0,0,0,0,0,1,0,0
600,0.600000024,13,56,35,15.447002,-16.734308,0,0,0,0,1,0,0,0,0,0
1000,1.0,7,50,55,12.6243991,-15.8591213,0,0,0,0,0,0,0,1,0,0
75,1.0,8,60,35,14.5845291,-16.293844,0,0,0,0,0,1,0,0,0,0
550,1.0,8,38,40,14.7119858,-15.9039005,1,0,0,0,0,0,0,0,0,0
100,1.0,8,37,45,14.7182816,-17.4504659,0,0,0,0,0,1,0,0,0,0
200,0.200000003,7,56,4,14.67231,-17.20784,1,0,0,0,0,0,0,0,0,0
100,1.0,7,40,70,13.43873,-15.8073816,1,0,0,0,0,0,0,0,0,0
2000,4.0,15,65,56,13.680992,-15.878883,1,0,0,0,0,0,0,0,0,0
800,8.0,6,56,49,14.7561322,-17.4567048,1,0,0,0,0,0,0,0,0,0
800,4.0,8,60,35,15.012194,-16.592772,0,0,0,0,1,0,0,0,0,0
215,0.520900011,15,46,56,13.1440754,-14.1059408,0,0,1,0,0,0,0,0,0,0
400,0.5,10,45,30,12.4244545,-12.0061503,1,0,0,0,0,0,0,0,0,0
537,1.191879988,17,67,21,12.511265,-16.602337,1,0,0,0,0,0,0,0,0,0
3000,3.0,15,41,84,14.7232818,-17.4787136,1,0,0,0,0,0,0,0,0,0
500,2.0,10,55,62,14.217813,-15.883542,0,0,0,0,0,0,0,1,0,0
3000,6.0,26,47,63,14.128458,-15.7439194,0,0,0,0,1,0,0,0,0,0
4600,7.5,14,36,60,13.943329,-16.014255,1,0,0,0,0,0,0,0,0,0
110,1.0,7,41,49,15.713093,-15.94964,0,0,0,0,1,0,0,0,0,0
250,0.75,14,71,14,13.995527,-15.719152,0,0,0,0,1,0,0,0,0,0
250,2.0,7,43,35,42.3770029,-71.11666009999999,1,0,0,0,0,0,0,0,0,0
300,1.0,4,53,23,12.589336,-12.856031,0,0,0,0,0,0,0,1,0,0
700,2.0,5,36,49,14.433333,-15.816667,0,0,0,0,1,0,0,0,0,0
1000,2.0,10,60,42,12.823187,-15.387097,1,0,0,0,0,0,0,0,0,0
1000,2.0,12,35,84,14.085892,-16.068386,1,0,0,0,0,0,0,0,0,0
6000,1.0,8,57,8,16.0068567,-13.6878382,0,0,0,0,0,0,1,0,0,0
1700,1.0,8,67,35,12.583333,-15.966667,1,0,0,0,0,0,0,0,0,0
650,1.0,7,59,48,14.6395948,-16.2255098,1,0,0,0,0,0,0,0,0,0
6000,2.0,5,64,84,14.774572,-12.2939589,0,0,0,0,0,0,0,0,0,1
1200,2.0,20,40,56,14.497401,-14.452362,0,0,0,0,1,0,0,0,0,0
1000,2.0,8,60,8,41.6991133,-86.2387627,0,0,0,0,0,0,0,1,0,0
600,2.25,12,55,42,14.7499152,-17.3881991,1,0,0,0,0,0,0,0,0,0
500,1.5,14,65,40,38.8037704,-77.06238069999999,1,0,0,0,0,0,0,0,0,0
2000,2.0,5,60,49,14.699306,-16.959566,1,0,0,0,0,0,0,0,0,0
36,0.430000007,9,86,97,38.8985658,-77.04428419999999,0,0,0,0,0,0,0,0,0,1
350,3.0,6,46,48,14.79885,-16.822948,0,0,0,0,1,0,0,0,0,0
75,1.0,10,52,35,15.771223,-16.420372,0,0,0,0,0,1,0,0,0,0
1500,2.5,7,38,50,12.9178856,-15.0082584,1,0,0,0,0,0,0,0,0,0
