villages,id_men,taille_menage,age,nbre_heure_travail
Mbindo,893,7,48,30
Fanaye,894,7,51,64
Khourou  mbacke,895,9,72,30
Taiba Niassene,896,25,57,56
Kassack   sud,897,7,68,35
Médina koily,898,10,41,56
Ebarack,899,12,49,12
Bembou,900,5,33,49
Demizine,901,4,39,48
Teup dall,902,10,65,-99
Diegoune,903,13,60,-99
Diout ngeul,904,5,30,42
SARE PATHE DIALLO,905,11,43,50
Samba doguelle,906,6,38,49
Mbabari,907,3,45,42
Boeuf  dieng,908,4,35,21
Dendiely,909,11,47,56
Ndiatta,910,8,35,70
Silane,911,11,37,56
SINTHIANG,912,12,52,35
Sagnar,913,7,46,63
Bal wolof,914,5,50,48
PATAR,915,8,50,48
Willa will,916,5,35,-99
Médinatou  salam,917,8,48,70
NGUENTHE MATAR,918,8,30,48
Warang,919,7,67,56
Ngueye Ngueye,920,4,70,48
Mobaya,921,6,48,6
Touba fall,922,16,49,6
Missira diakhaly sare mansa,923,8,55,70
Diockoul,924,9,75,35
Saroudia,925,8,44,56
Ndiambour,926,8,65,48
Thicogne,927,17,48,42
Ourour ndiodo,928,9,56,6
Wilanene gouye,929,8,50,42
Sare Mbana,930,11,69,57
Bodiene,931,1,50,42
Sare demba diamanka,932,23,48,56
Bakou,933,9,46,70
Boulom,934,17,35,30
Diaké marame,935,5,45,63
Khaye barka,936,5,61,8
Madially,937,7,35,56
Galayabe,938,14,57,14
Kahi,939,12,37,46
Thiouck 1,940,6,42,7
Madina bambaly,941,6,53,6
Thiempeng,942,20,77,6
Gantour,943,6,56,60
Sinthiang Madia,944,7,50,42
Keur Mady Yacine,945,8,64,50
Touba niane,946,13,65,50
Saroudia,947,10,66,56
Teup dall,948,14,32,-99
Boulimanga manding,949,6,40,50
Peul lamassasse,950,9,46,54
Sinthiou Maleme,951,14,39,42
Dendory Hamau,952,9,71,8
Khaye ga,953,6,40,-99
Samaly,954,7,58,9
Santhie goudaguene,955,11,55,56
Gassane,956,7,59,9
Gasse doro,957,5,57,49
Sare Maoudo Dandio,958,10,60,18
MBEURLEUP,959,13,79,-99
Galoyabe,960,20,70,28
KANDJI,961,10,79,6
Nguick fall,962,4,55,56
Tivaouane peulh,963,10,61,48
Ghamoune,964,20,60,70
Gasse doro,965,4,38,49
Mback,966,12,77,63
Gaye paradji 2,967,17,46,14
Keur sountou,968,10,30,60
Tombroncoto,969,24,50,42
Keur sarokhy,970,9,43,78
Ethiolo,971,18,54,12
Kamoya,972,5,40,42
Diagnoum,973,5,46,63
SOUPANE,974,7,70,48
Tenghory Transgambien 1,975,14,53,56
Dendiely,976,6,66,5
Talibâdji ouolof,977,4,69,7
NGUETH,978,8,40,48
Koussawor,979,6,37,7
Tawfeekh Serere,980,14,59,8
Diao counda,981,10,60,14
Ngar de Gueth Ardo,982,5,40,83
Sakhao sérére,983,10,55,45
Ede,984,7,30,52
Macko,985,17,57,48
AFE Diop Niang,986,7,27,36
Sare El  hadji  Sory,987,11,70,14
TOUBA LAPPE,988,7,63,48
Nguerane goumack,989,8,45,56
Ndiakhate gatteigne,990,6,85,-99
Samaly,991,7,22,65
Mbetinky,992,12,40,42
Taiba,993,8,53,70
Madina couta,994,11,62,50
Keur lahine sakho,995,10,60,75
Nguith,996,6,75,42
Bamba thialene,997,8,54,48
Bélél Diawlé,998,20,52,8
Bembou,999,7,53,21
Keur mousseu,1000,12,45,54
Keur bara feudy,1001,9,67,70
Ndioral Diambaye,1002,21,35,80
Mbanani1,1003,8,62,-99
Missira mbayenne,1004,10,70,28
Malemeba,1005,5,56,56
Mboyo,1006,8,56,56
Khatete,1007,9,42,56
Darou Diop,1008,6,70,42
Mboyo,1009,10,64,56
Ndiebel,1010,5,57,75
Faoye,1011,17,65,-99
Médina mandah,1012,9,45,70
Falokh,1013,10,38,56
Mbobene,1014,7,42,56
Agnack petit,1015,8,59,48
Farabato,1016,8,39,63
Keur me Doune ndiaye,1017,5,67,90
Médina gounass,1018,22,57,24
Darou pakala,1019,4,50,49
Eguilaye,1020,6,85,28
Diagaly,1021,15,52,56
Sam Sam - Santhiaba Ouoloff,1022,6,41,30
Sithiou dimbou mina,1023,8,45,70
Mbissis dia,1024,16,46,85
Darou  salam typ,1025,10,39,40
Keur omar gagué,1026,5,38,35
Woulidji,1027,5,35,49
NGODIBA,1028,11,42,48
Darou Diene,1029,6,62,62
Kheinde,1030,5,50,14
Tiguette,1031,6,51,37
Kouthiagaydy,1032,5,53,56
Dioumada,1033,10,42,43
Haffée Lour,1034,6,31,49
Keur  nderry,1035,10,66,49
Velingara woulou,1036,9,53,50
Niagal,1037,17,71,42
Kandialon,1038,7,37,6
Djilakh,1039,10,68,63
Taofekh,1040,11,70,20
NDIAWE (Diewale),1041,7,63,49
Risso,1042,5,77,-99
Ngayene,1043,9,26,28
AÉRÉ   POSTE,1044,7,48,35
Kawel,1045,6,27,28
Edioungou,1046,4,47,77
Boucotte ouoloff,1047,6,60,50
Baity dakhar,1048,5,58,42
Ndiette,1049,8,61,48
Taiba Niassene,1050,17,49,49
Wendu sebbe,1051,3,55,5
Nimeneké,1052,12,33,42
Teyel,1053,6,54,42
Touba,1054,6,45,56
Diarigne,1055,25,45,70
Dankh sene,1056,7,65,48
Kabdou,1057,6,52,42
Tatene mbambara,1058,11,61,-99
Keur omar sabaly,1059,11,73,60
Sorokhoume,1060,4,46,49
Guereo,1061,8,50,50
KANICO MARONCOUNDA,1062,5,52,42
1,1063,9,43,-99
THIOUBALEL,1064,6,46,30
Wentenkou,1065,26,55,42
Kafountine,1066,5,50,30
THIOUBALEL,1067,6,65,15
Koyllal moussa,1068,19,57,84
Thisse,1069,11,78,60
Djifanghor,1070,19,49,54
Talto diega,1071,12,42,56
SOUPANE,1072,9,65,40
Nododje,1073,13,50,56
Wassadou,1074,7,37,-99
Diabougou,1075,7,49,15
Gaina Mbar,1076,5,38,50
Afia bacary demba,1077,12,43,56
Keur Ali samba,1078,10,45,60
Mousnakh gnath,1079,18,65,-99
T ivaoune peulh,1080,12,46,42
Keur  Magaye,1081,18,67,42
Walya samba deme,1082,14,51,60
Kandaga Hamdy,1083,17,54,36
Sinthiang male,1084,3,45,6
Kouthiagaydy,1085,4,52,65
Bembou,1086,6,57,49
Nguetou malick,1087,3,25,-99
Ndoffene 1,1088,9,72,0
Mbambilor,1089,10,62,56
Ndiedieng1,1090,9,68,70
Ndiandiaye,1091,9,60,63
Nioket,1092,12,55,54
Beude forage,1093,5,80,50
Daga balla,1094,6,65,63
Keur moussa seny,1095,10,60,35
Ndiene lagane,1096,12,68,7
Guediane,1097,10,60,56
Gott1,1098,10,81,-99
Gabou bilobode,1099,8,60,0
Koundioundou,1100,7,65,30
Ngary,1101,12,60,42
Woulidie,1102,5,37,49
3,1103,19,52,70
Thiakho    Thiofior,1104,26,40,56
Keur mandongo,1105,12,54,75
Makho,1106,8,67,42
SITABA,1107,5,39,42
THIEDIENG,1108,6,60,48
Mbarocounda,1109,14,67,-99
Médina gounass,1110,10,28,35
Mboyo,1111,12,49,56
Touba ndawene,1112,10,62,35
Wack ngouna,1113,19,62,63
Bagnomba,1114,12,86,42
Keur samba gueye,1115,9,65,42
Gae,1116,5,57,54
Fanda,1117,15,45,35
Thisse,1118,6,70,48
Ngothie,1119,6,87,-99
GOLY,1120,10,52,35
Bourofaye bainouck,1121,9,42,15
Mboudaye,1122,8,75,0
Mama Toure,1123,9,67,40
Aliou Samba,1124,11,46,50
Ndere Mbaye,1125,4,87,36
Diokoul mbelbouck,1126,7,45,70
SITABA,1127,5,35,42
Darou salam,1128,10,65,43
Ngolaneme,1129,5,79,3
Keur mousseu,1130,8,36,54
Kaba,1131,10,60,26
Mousnakh ngath,1132,13,60,4
Wack Ngouna,1133,23,56,77
Fanda,1134,10,63,60
Diabal,1135,17,68,56
Thiare,1136,8,73,63
Mbembeme,1137,7,35,-99
Balledji,1138,7,51,0
Cadjinolle Hassouka,1139,6,77,0
Ede,1140,6,33,52
Ndiakhaye,1141,6,48,54
Panambo mamady,1142,16,42,42
Keur  medoune ndiaye  b,1143,11,55,45
Djifanghor,1144,3,51,-99
Bindago,1145,8,45,25
Dialaka,1146,28,47,35
Bransan,1147,8,58,15
Danthiady,1148,5,62,18
Mbayene,1149,7,44,48
Nguithie thiandigué,1150,4,80,-99
Kathiawane,1151,15,30,35
MÉDINA FRANCE,1152,22,66,25
Barkael,1153,12,50,7
Ndiayene Momath,1154,30,46,49
Hamdallaye tessan,1155,13,44,58
Diamaguene,1156,11,42,42
Mbeuleup,1157,10,46,49
Bantang countou,1158,17,41,35
Thionokh sangue,1159,9,40,49
Fass gounass,1160,13,63,48
Coubalan,1161,8,51,25
Mabo,1162,8,31,63
Khourou ndiobene,1163,6,62,24
Moula Mamour,1164,6,35,49
Thiélé pathiéme,1165,6,40,48
Maroum maode,1166,19,46,56
Ngar keur naimbelly,1167,6,32,-99
Malem  thierigne,1168,7,52,-99
Simbandi  balante,1169,8,62,25
Bandoulou toucouleur,1170,15,35,77
Mbeye,1171,6,45,54
Sare walome,1172,10,70,56
Ndiamalathel,1173,6,46,6
Pampi,1174,10,72,8
Bambaly,1175,9,54,56
Silane,1176,16,50,56
Kaba diack,1177,8,56,72
PATHE GALLO,1178,7,53,10
Kathiote,1179,4,75,28
Boulome,1180,17,37,54
Ndieulbert 2,1181,6,67,42
Kouthiagaydy,1182,7,36,58
Mback,1183,6,40,63
Mbeurleup,1184,8,70,35
Médina ndiobene,1185,26,42,80
Meo Ndiawene,1186,10,55,56
Keur  medoune ndiaye,1187,12,53,50
Diandioly,1188,6,40,28
Darou ndiawene,1189,9,52,49
Bambaraya,1190,5,40,27
CANIKO MARONCOUNDA,1191,6,42,42
Sinthiang Diouma,1192,11,47,58
Thiakh,1193,10,59,32
Ethiolo,1194,4,53,23
Diattacounda 2,1195,4,63,28
Ndialigue,1196,6,45,-99
Hamdalaye malick,1197,17,66,-99
Diakhaba,1198,6,44,56
Seokhaye,1199,7,56,40
Beude forage,1200,14,57,54
Gorom3,1201,1,59,60
Diokoul ndionguene,1202,8,44,45
Thione,1203,6,59,42
Ngouck Diama,1204,6,35,56
Bokhol,1205,7,45,52
Linguetto,1206,9,51,70
Kanene kane,1207,11,55,54
Ndarapp,1208,8,55,30
Mbarocounda,1209,20,60,42
Médina ndiobene,1210,20,40,50
Barkedie,1211,11,50,36
Kamobeul,1212,4,79,35
Sinthiang Samba Coulibali,1213,6,47,70
Thisse,1214,4,43,-99
Beltaty Serere,1215,23,72,8
Ronkh,1216,9,52,48
Keracounda,1217,8,42,8
Selety,1218,14,37,25
Adeane,1219,18,75,50
Koussawor,1220,1,52,7
Darou salam,1221,3,52,12
Djilahogué,1222,16,60,-99
KANDJI,1223,7,59,48
Mbayene  diack,1224,11,62,48
Belel Diawlé,1225,11,30,56
Balledji,1226,9,51,4
Bamba mamadou,1227,9,47,70
Ethiolo,1228,11,35,12
GOLY,1229,6,72,35
Baila,1230,15,41,49
Rao gare,1231,7,70,48
Agnack petit,1232,11,51,8
Niaga,1233,5,54,42
Kabdou,1234,8,37,48
Singhere mandingue,1235,7,58,40
Mbardiack,1236,10,70,48
Madina El hadji souane,1237,10,63,35
Mbowene,1238,8,33,56
Ndiendieng,1239,15,35,60
Ekess,1240,8,36,12
Ngothie,1241,12,60,40
Lamin,1242,10,52,32
Rao peulh,1243,9,71,56
Ngoye Djolof,1244,28,72,28
Sedo,1245,8,65,21
Diagnon,1246,24,85,50
Ndere Mbaye,1247,5,42,48
Sendebou,1248,10,61,6
Ebarack,1249,6,47,12
THIAKH,1250,7,60,48
SEGRE BAMBARA,1251,5,70,63
Diambeye,1252,8,39,48
Ainoumane,1253,7,61,49
Djivente,1254,7,47,46
Sare samba cisse,1255,8,45,70
Gnolaneme,1256,9,73,57
Sagharé,1257,13,56,7
Keur soce,1258,22,62,77
Djibanar,1259,6,56,48
Sinthiou Maleme,1260,9,28,42
Khatete,1261,8,50,56
Peul lamassasse (deug dappa),1262,17,71,48
Ndande,1263,5,68,77
Pelour,1264,8,56,56
Sinthiang male,1265,4,57,7
Sarė Sadio moudou,1266,16,47,49
Thiaho madiali,1267,9,37,56
Fassada,1268,9,58,8
Kathiotte,1269,5,60,43
Khayane,1270,5,60,9
Ndioum Ngainth,1271,7,41,24
Ngoundoumane,1272,21,65,42
Ngueu tuo malick,1273,5,33,70
Thiakho    Thiofior,1274,9,54,56
Bountou Back,1275,5,41,48
TAMBANABA,1276,4,55,42
Diossong,1277,18,52,36
Y a Diana extention,1278,6,62,54
Keur malahine,1279,22,65,70
Diabète  tallene,1280,8,40,97
BAdiary,1281,5,40,46
Thysse keur mandongo,1282,12,69,50
Nguelou disse,1283,11,35,63
Bountou Back,1284,6,56,42
Taiba niassene,1285,20,68,75
Djignaki,1286,12,26,71
DAROU SAMBE,1287,7,40,54
Keurmoussandiaye,1288,11,53,56
3,1289,8,36,-99
Thioyéne,1290,22,57,42
1,1291,20,46,80
Ngothie,1292,20,80,-99
Nguedj,1293,6,79,30
Botou,1294,12,36,56
Ainoumane,1295,11,57,49
Missira demba,1296,10,75,49
Kafountine,1297,7,65,35
Djiabl,1298,2,58,15
Khodaba,1299,10,64,73
Kaguit,1300,7,58,36
Keur  medoune  ndiaye  b,1301,12,60,45
Diambéye,1302,5,50,40
Niahene,1303,20,54,42
Manael,1304,5,59,42
Taiba Niassene,1305,8,40,49
Niassene Manding,1306,10,45,49
mbabanene,1307,15,36,40
Ourourbe,1308,7,49,50
Thiabecare,1309,9,41,42
Tallakh,1310,6,76,48
Tacoudiala,1311,19,71,14
Ede,1312,4,38,50
SaoSoucouta,1313,8,53,55
Agnack grand,1314,8,63,28
Faraba,1315,7,49,42
Malicounda wolof,1316,8,50,63
Kalyr,1317,7,50,48
Djimbana,1318,6,59,40
Guiro yero bocar,1319,9,60,42
Bodiene,1320,3,53,42
Diarring,1321,15,54,32
Djikesse,1322,8,78,56
Touba fall,1323,10,64,36
Mbeurleup,1324,10,83,35
Diamgueune ndiaye,1325,10,70,-99
Farabougou,1326,5,74,24
Ndiedieng,1327,14,42,56
Welia mbounka,1328,13,50,70
Karantaba,1329,30,35,32
Kevoye,1330,24,53,8
Koudy,1331,5,63,42
Coubalan,1332,6,43,28
Sinthiang Songa,1333,21,45,45
Soro khoum,1334,4,69,21
Agniack,1335,13,47,-99
Keur Sophie,1336,6,44,6
Ndarap,1337,7,39,48
Mbacke Ndiock,1338,11,34,70
Sorocogne,1339,7,42,48
Keur illo ka,1340,8,45,48
Touba   ngoundiara,1341,5,60,20
H1 Rao croisement,1342,7,66,35
Médina degouye,1343,9,35,56
Kathiote,1344,3,57,8
Fongolimbi,1345,9,53,35
Kahi,1346,13,60,46
Cabrousse mossor,1347,5,41,50
RISSO FALL,1348,7,83,25
Darou salam,1349,10,58,43
Samba colo,1350,8,46,3
Kalyre,1351,7,47,48
Temento Ely,1352,13,46,15
Diegoune,1353,8,61,71
Kaka,1354,8,45,63
Boukotingho,1355,5,60,33
Yene,1356,6,59,42
Mballo counda,1357,12,47,50
Nguedj Diop,1358,6,52,-99
Doubirou,1359,19,49,14
Niagnar,1360,8,73,28
2,1361,11,61,42
Lagnar' pokh,1362,7,66,48
Ngoundiane samel,1363,11,77,-99
Talto diega,1364,16,54,56
wendou,1365,7,62,40
Gabou,1366,5,59,77
Ndimb Dior,1367,9,67,48
Diamgueune ndiaye,1368,7,90,-99
Djibabouya,1369,9,48,49
Kollo,1370,8,60,9
darou minam,1371,7,36,40
Belal djiga,1372,12,18,35
Pape Gueye,1373,15,46,16
Minguene boye,1374,13,62,48
Payckoup serrere,1375,7,62,91
Yene guethie,1376,14,68,28
Ngar de Gueth Ardo,1377,16,71,70
BELLE THIOVY,1378,10,49,25
Ngougouss,1379,9,45,48
Narga,1380,13,75,0
Malem   thierigne,1381,6,45,30
Sao  Soucouta,1382,15,61,77
Fadam,1383,23,67,63
Mballo counda,1384,11,64,40
Sambouconda,1385,5,60,7
Frankounda,1386,8,55,50
Fass kouteyene,1387,15,26,35
Diabète  tallene,1388,10,36,84
Boulome,1389,13,63,48
Nguelou mboubene,1390,16,40,-99
Mbocky ndieme,1391,6,57,7
Sinthiou samba deme,1392,6,35,63
Bel tati serer,1393,9,66,5
Douba,1394,16,42,56
Ndiarga lambaye (ndiagne),1395,8,26,54
Wardiakhal,1396,8,75,-99
Bak Bak,1397,8,45,25
Samfal,1398,7,55,49
MÉDINA sili,1399,9,45,70
Nguarigne,1400,8,48,56
Golonde,1401,7,52,6
Ndienguene keur malobe,1402,45,45,40
Wallangkingui,1403,7,45,-99
Batara Kaba,1404,14,38,49
Same,1405,5,70,30
Fassada,1406,5,52,7
Diakene ouolof,1407,4,55,42
Khamnane,1408,12,65,-99
Ndiendieng,1409,6,30,35
Labgar,1410,13,62,56
Sare boyly,1411,12,22,48
Gawane Djida,1412,7,25,50
Tekiguel,1413,8,52,49
Nguithie thiandigué,1414,12,78,-99
Darou salam,1415,7,59,54
Thiakho     Thiofior,1416,18,53,56
Thiélé patihiéme,1417,7,40,45
Moudery,1418,4,78,14
Aliou Samba,1419,25,51,60
Guediane ndiaye,1420,13,57,49
Domb1,1421,4,56,63
FAOUNE,1422,6,46,50
Missirah,1423,14,63,25
Mbambey,1424,3,65,35
Raynabe2,1425,5,30,40
Koboyel,1426,2,70,7
Ngolaneme,1427,2,63,35
Ngouye thiandigue,1428,9,39,-99
Thilla,1429,17,52,42
Nayobe gaye,1430,8,82,42
Sotokoye,1431,9,35,60
Mbacke Mbayare,1432,5,55,-99
Dakateli,1433,31,73,3
Baïty,1434,19,48,49
Veligarameur,1435,4,48,49
Francounda sarakhole,1436,11,49,49
Bissary,1437,4,63,35
Koudy,1438,5,48,42
Kaguit,1439,11,37,42
Loudia Ouoloff,1440,12,64,56
Ndiedieng,1441,14,47,56
BEUDE  DIENG,1442,12,82,-99
Yerimale,1443,6,58,5
Temento,1444,7,50,50
Kaba diack,1445,11,65,54
Papa ndiaga sow,1446,7,36,29
Sedo,1447,15,86,1
Belle,1448,6,36,0
Sare  mougna,1449,11,61,13
Thiankoye,1450,22,60,72
PAMBAL,1451,13,41,48
Djilahogué,1452,12,36,56
Wilanene,1453,12,38,48
Diokoul mbelbouck,1454,6,45,60
Patar banane,1455,4,50,8
Keur samba rocky drame,1456,14,36,60
Paylar,1457,10,37,56
Ndiama,1458,2,45,7
6,1459,11,65,40
Hamdallaye mamadou,1460,11,72,48
Mandina balante 2,1461,12,68,30
Bantakhocouta,1462,4,62,42
Koussanar Escale,1463,9,40,36
Gande,1464,4,80,30
Bahe,1465,4,40,-99
Sagatta gueth,1466,7,55,90
Ndiette,1467,8,52,32
Koutal guagne,1468,12,35,84
Thioffyore,1469,10,40,74
Bantakhocouta,1470,7,45,42
Ngnippy,1471,15,51,56
Nguéguéye,1472,6,70,70
Sambagar,1473,2,45,72
Agniack,1474,7,55,77
Hamdallaye mamadou diallo 2,1475,14,44,70
Thioffyore,1476,10,87,74
Saremamadou egue,1477,18,25,42
Kagnarou,1478,9,68,49
Pouniar,1479,12,37,63
Rao peulh,1480,12,50,70
Mamakhono,1481,6,39,42
Adia bacary el hadji,1482,7,51,56
Oudiabouss,1483,11,50,30
Taiba niassene,1484,13,45,72
Falokh,1485,10,62,56
Polel Diaobe,1486,5,52,8
Pire goureye,1487,5,45,35
Gabou,1488,6,63,77
Yene,1489,6,62,56
Nioket,1490,10,62,48
Ngothie,1491,10,59,30
Keur Karime Ba,1492,8,43,84
Ndiandiaye,1493,11,77,0
Talibâdji ouolof,1494,4,82,42
Mamadou Ali mballo,1495,9,47,24
Ndoka,1496,4,48,70
Mback,1497,10,44,63
Thiamene ousmane,1498,12,52,76
Loudia  Ouoloff,1499,7,47,24
Baghagha,1500,10,33,35
Bani diega,1501,10,45,56
Kafate,1502,10,41,-99
Koylal Alpha,1503,14,57,64
Fadial serrere,1504,8,42,56
Sate,1505,10,42,49
Eganga,1506,8,60,8
Diagaly Wolof,1507,18,72,11
Kack,1508,6,52,49
Mbardiack,1509,14,40,54
DJIGUAL,1510,7,33,48
Tawa fall,1511,10,65,48
Madially,1512,10,51,54
Maka baragueye,1513,8,38,54
Ndieulbert,1514,6,58,56
Diaké marame,1515,16,45,63
Ndienghéne keur malobé,1516,15,45,63
Pakala mbayéne,1517,5,38,56
Padalal,1518,42,57,8
SINE LEYE KANE,1519,8,80,23
Lagnarboumag,1520,5,65,48
Sinthiou Maleme,1521,10,55,50
Carounate,1522,6,65,36
Diagongue,1523,13,56,56
Dieymane,1524,18,32,35
Mbayene  diack,1525,26,69,48
Darou matar,1526,10,44,49
Warang,1527,9,75,35
Bondji sinthiane,1528,6,55,87
Kamoya,1529,23,28,21
Medina Hanecounda,1530,9,66,6
Ngnippy,1531,6,21,56
Mbatar diop,1532,13,80,0
Kanene kane,1533,8,52,54
Fouloium,1534,7,57,-99
Thor,1535,5,56,-99
Tatene mbambara,1536,12,70,-99
Falokh,1537,8,54,56
Mabo,1538,25,65,63
Ndiette ngohe,1539,8,48,48
Tivaouane peulh,1540,7,51,42
Learning    Kaur me Doune ndiaye,1541,8,76,85
Farabato,1542,10,48,70
Banane,1543,9,69,0
Koussanar,1544,9,48,42
Raynabe2,1545,7,53,40
Darou salam,1546,11,58,43
Badiana,1547,8,59,56
Beude forage,1548,10,66,54
Windows Bey,1549,6,50,56
Farabougou,1550,7,31,4
Ndigane    Serere,1551,11,60,56
Talibâdji ouolof,1552,6,29,42
Moula mamour,1553,6,35,82
Saly escale,1554,11,42,56
Médina ndrame,1555,8,32,-99
EBARACK,1556,2,31,70
Seny  gueye,1557,15,57,49
Wardiakhal,1558,26,47,63
Fongolimbi,1559,10,45,30
Thiamene,1560,16,40,35
Sibidianto,1561,7,68,40
Labgar,1562,22,48,49
Diokoul mbelbouck,1563,6,32,70
Agniack,1564,36,37,56
Mande keur diegane thiaré,1565,6,70,-99
Nguick,1566,14,61,-99
MÉDINA BACARY SY,1567,9,37,50
Darou Ndiaye,1568,10,57,52
Tivaouane peulh,1569,9,67,45
Maka baragueye,1570,6,53,-99
Sam mali,1571,6,35,45
Eguilaye,1572,3,77,-99
Sinthiou moussa,1573,4,22,42
Médina gounass,1574,16,61,15
Balledji,1575,6,41,5
T ivaoune peulh,1576,16,67,48
2,1577,15,63,50
Mobaya,1578,7,65,8
Diegoune,1579,6,40,42
THIAKH NIANG,1580,10,67,48
Lahi,1581,6,56,43
Baïla ndour,1582,5,65,0
Ndiandiaye,1583,21,76,63
Ronkh,1584,5,45,20
Ndiambour1,1585,18,45,-99
Saré Bouka,1586,10,70,0
Keur  Ibrahima,1587,8,60,35
Sam,1588,16,65,21
Agnack petit,1589,11,60,8
Sab Sabré,1590,5,35,49
Fololo birane,1591,4,50,7
Marigot,1592,13,70,60
Teup dall,1593,9,56,-99
Kanel,1594,10,78,-99
Touba,1595,20,67,25
Belel Diawle,1596,15,50,56
wendou,1597,18,38,40
Thylla Warkhokh,1598,8,50,42
Médina kocoum,1599,12,57,30
Kassack  sud,1600,9,84,0
Back Back,1601,14,65,3
Guinth peulh,1602,11,35,70
Diattacounda  2,1603,8,51,30
Mbeurleup,1604,6,53,35
Payoma,1605,9,37,48
Kaba,1606,11,50,49
Dioumada,1607,7,68,40
Guethie,1608,8,59,77
Sare ngadiary,1609,7,32,49
Boula tally,1610,5,76,45
FASSE DIAE,1611,12,55,77
Dialocounda,1612,8,64,28
Koussawor,1613,6,35,7
Diagaly  Mbowen,1614,6,39,45
Médina Cherif,1615,20,57,42
Djibelor,1616,14,56,77
Ndieyene sirakh,1617,10,72,48
Mansakodji,1618,7,52,3
Rao gare,1619,7,78,35
Barkael,1620,12,67,30
Diamagueune,1621,7,63,54
Médinatou salam,1622,7,38,60
Niagal,1623,20,65,48
Ndiorokh Ndoutane,1624,7,42,42
Mboyo,1625,6,40,56
Darou salam 2,1626,1,41,42
Ndayar,1627,5,53,62
Koussanar Escale,1628,14,61,42
Dendoudi doka,1629,5,62,42
Ndiobene Ndeme,1630,8,65,56
Diamwely,1631,9,40,40
Talto diega,1632,25,40,56
Thiarene,1633,17,73,24
Djilakh,1634,7,57,70
Mbrouvaille,1635,18,57,-99
Beud Dieng,1636,4,65,35
Wardiakhal,1637,10,63,36
Gatte ngaraffe1,1638,18,47,70
Tendouck,1639,7,71,70
Temento,1640,8,59,40
Dialaka,1641,12,54,35
Tallen,1642,10,70,36
Tuabou,1643,5,55,56
Médina gounass,1644,19,55,24
Farabougou,1645,6,36,-99
Ourour sinthiou,1646,6,38,7
Cabrousse nialou,1647,6,41,30
Keur yoro soubou,1648,21,43,63
Diakene ouolof,1649,9,62,48
Ndieyene sirakh,1650,11,67,54
Ndiaback,1651,8,58,42
Talibâdji ouolof,1652,4,40,42
Missira,1653,5,66,-99
Keur birame,1654,9,67,63
Ngangounné,1655,19,70,-99
Lougoule,1656,13,67,84
Ndiorokh Ndoutane,1657,14,56,40
Nguedji,1658,12,70,30
TAMBANABA,1659,5,35,52
Lagard goumack,1660,9,60,28
Malicounda wolof,1661,13,60,63
Hamdallaye lomene,1662,7,76,56
Yadiana,1663,4,19,40
Nioket,1664,10,37,70
Patoulane ndiobene,1665,4,62,65
Ballou,1666,6,56,85
Thiempeng,1667,12,80,6
Sinthian guiro,1668,9,26,56
Diokoul mbelbouck,1669,6,40,70
Sakhao sérére,1670,10,50,48
Thiakho    Thiofior,1671,24,46,54
Syllacounda Diakha,1672,9,29,-99
Kandiator,1673,19,54,54
Sab ka,1674,9,70,15
1,1675,13,45,80
Mbafaye,1676,9,63,70
Aloudia,1677,4,49,48
Londiore,1678,6,90,48
Bindago,1679,10,70,25
Médina Silly,1680,15,65,60
Kountada,1681,10,26,42
Niaga,1682,7,66,56
Boulimanga manding,1683,4,36,20
Seokhaye,1684,19,50,70
Douta,1685,5,43,21
Laloye2,1686,11,43,42
Médinatou  salam,1687,11,60,-99
Maka baragueye,1688,8,60,36
Houdallaye,1689,4,78,7
SINTHIANG daouda,1690,11,42,56
Syllacounda Diakha,1691,7,38,30
Niangheme,1692,8,30,63
Nguedj Diop,1693,5,66,49
FAOUNE,1694,13,64,45
Keur  medoune  ndiaye,1695,4,74,0
Kamobeul,1696,2,31,28
Koussanar Escale,1697,11,49,42
Thiangaye,1698,11,66,64
Boulal,1699,10,60,7
Gae,1700,7,55,60
Gantour,1701,5,67,54
Nguethie,1702,25,45,30
Mabo keur babou,1703,11,49,49
Mayelle,1704,6,73,0
Keur  arouna  pene,1705,6,63,25
Gott1,1706,12,79,-99
Soumboundou,1707,10,67,70
Bellekho,1708,15,56,90
Diawre,1709,10,50,40
Somb,1710,7,45,40
Yadiana,1711,8,55,40
SARE PATHE DIALLO,1712,9,56,50
Bak Bak,1713,15,29,29
Nelby,1714,22,52,49
Ngougouss,1715,5,52,48
Leona,1716,8,45,70
Mbeuleup,1717,11,58,56
bankhathe,1718,9,55,40
Dianyery Yoroya,1719,9,78,0
Dioly mbandakhe,1720,7,50,70
Lamsar,1721,14,84,-99
Khaye barka,1722,13,45,60
Fasse ferlo,1723,5,42,49
Keur  medoune  ndiaye  b,1724,9,50,60
Poukhame tok,1725,6,38,54
Badiana,1726,6,44,48
Dendey,1727,13,35,-99
1,1728,33,60,56
Niangene,1729,9,47,56
Thilmakha,1730,8,62,24
Malemba,1731,5,52,58
Diatta,1732,9,70,15
Dendory,1733,11,32,6
Nemadiaour,1734,5,48,49
Ndiagne,1735,6,61,35
Portant Peulh,1736,6,70,42
bangakh,1737,10,53,40
Colobane,1738,8,35,8
Soumboundou,1739,10,40,70
Peheouarack,1740,15,80,35
Bantaghel2,1741,6,40,48
Gapakh,1742,12,45,60
Ndimb    Korki,1743,7,37,56
Fin tel somb,1744,8,60,35
