villages,id_men,taille_menage,age,nbre_heure_travail
Missirah Demba Sadio,207,19,45,21
Sanoufili,208,6,55,36
Missirah Demba Sadio,209,11,76,0
Diawre kouta,210,11,34,42
AFE Diop Niang,211,10,50,56
Danthiady,212,20,48,30
Boof,213,13,52,48
Mbarocounda,214,9,55,25
Djilakh,215,8,83,10
Baity dakhar,216,8,65,48
Ndombolokh,217,5,81,-99
Diabète  tallene,218,9,55,56
Ndombolokh,219,4,57,35
Keur medoune mbaye,220,3,32,42
Mbalamsone,221,20,49,63
Badiangara Moussa,222,18,49,72
Diattacounda 2,223,9,58,30
DJIGUAL,224,7,33,48
5,225,18,40,50
5,226,12,72,12
Pampi,227,13,64,9
Roundal sakhal,228,8,40,6
Nguerane goumack,229,14,59,56
Kaguitte,230,11,50,49
SARE PATHE DIALLO,231,8,62,45
Camara,232,3,35,48
Kouyre,233,6,72,27
Ndiongue fall,234,15,78,30
Sedo sebbe,235,10,65,25
Pendao,236,12,57,64
Bokh,237,5,45,60
Gande,238,3,48,87
Bondie,239,3,50,12
KASSAS,240,15,40,70
Daga balla,241,12,46,49
BARKATOU,242,6,48,5
Gagnick khodjil,243,5,37,-99
FASSE DIAE,244,4,47,33
Sine Leye kane,245,9,57,35
Kafoul,246,15,47,28
Thieumb,247,6,88,-99
Diatmel moussa,248,5,42,-99
Ngayene thiébou,249,7,40,38
Dakately,250,6,34,56
Mobaya,251,6,55,8
Rao gare,252,14,59,70
NDARAP,253,4,43,40
Kaba,254,6,30,49
Inna,255,6,45,8
Ndoudiour,256,12,48,70
Ndiayéne Pendao,257,12,66,56
Mbodienne,258,20,65,-99
Darou gaye,259,10,70,35
Riade,260,9,55,7
Velingara Maure,261,5,45,49
Ndande,262,8,69,25
Sibidianto,263,5,53,43
THIOUBALEL,264,7,48,25
Mboudaye,265,11,67,0
Niangalan,266,7,36,-99
Ngangounné,267,17,41,63
Diankancounda,268,24,40,43
Ndirene,269,5,69,5
Médina Sabakh,270,28,71,20
Lesfalo,271,8,54,35
Eguilaye,272,9,68,56
Douba,273,16,42,7
Mbetinky,274,12,42,42
Ndiossi,275,11,40,9
Hamdallaye,276,10,74,0
Mbene Diouma,277,9,50,46
Thiathiaw kaba keur ndiawrigne,278,7,71,36
Niague,279,10,50,56
Rao Gare,280,11,61,35
Niagnar,281,9,70,28
St Double Sylla,282,10,40,47
Medina Hanecounda,283,5,47,7
NDIOKHOBA,284,9,30,36
Samba doguelle,285,5,40,49
1,286,24,67,-99
1,287,8,55,42
Riade,288,8,34,7
Keur medoune mbaye,289,6,55,35
Niaguis,290,7,56,49
Keur  Ibrahima,291,7,40,56
Mbindo,292,9,50,28
Djiragone,293,3,65,6
Patouky,294,4,40,49
